date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:15:28	676/676	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Jul%202024%2004:45:26%20GMT	https://www.vitthalsales.netlify.app/robots.txt		(from )
10:15:28	30630/30630	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Jul%202024%2004:45:26%20GMT	https://www.vitthalsales.netlify.app/	C:/My%20Web%20Sites/vitthal%20sales/www.vitthalsales.netlify.app/index.html	(from )
10:15:28	4753/4753	---M--	200	added ('OK')	text/css	etag:%22629aa1d5-1291%22	https://www.vitthalsales.netlify.app/static/main/css/style.css	C:/My%20Web%20Sites/vitthal%20sales/www.vitthalsales.netlify.app/static/main/css/style.css	(from https://www.vitthalsales.netlify.app/)
10:15:29	155631/155631	---MCZ	200	added ('OK')	text/css	etag:W/%2225fef-PDndyutgvrSms9Gt5O+JOaWK1Zo%22	https://cdn.jsdelivr.net/npm/bootstrap@5.0.1/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/vitthal%20sales/cdn.jsdelivr.net/npm/bootstrap@5.0.1/dist/css/bootstrap.min.css	(from https://www.vitthalsales.netlify.app/)
10:15:30	13167/13167	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2031%20Jul%202024%2004:45:28%20GMT	https://kit.fontawesome.com/e0af66649b.js	C:/My%20Web%20Sites/vitthal%20sales/kit.fontawesome.com/e0af66649b.js	(from https://www.vitthalsales.netlify.app/)
10:15:30	2390/2390	---M-Z	200	added ('OK')	text/css	etag:%225eb03fd5-956%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.9.0/slick-theme.min.css	C:/My%20Web%20Sites/vitthal%20sales/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.9.0/slick-theme.min.css	(from https://www.vitthalsales.netlify.app/)
10:15:31	1369/1369	---M-Z	200	added ('OK')	text/css	etag:%225eb03fd5-559%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.9.0/slick.min.css	C:/My%20Web%20Sites/vitthal%20sales/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.9.0/slick.min.css	(from https://www.vitthalsales.netlify.app/)
10:15:31	2019/2019	---M--	200	added ('OK')	text/css	etag:%22629aa1d5-7e3%22	https://www.vitthalsales.netlify.app/static/main/js/Nivo-Slider-jQuery-master/themes/default/default.css	C:/My%20Web%20Sites/vitthal%20sales/www.vitthalsales.netlify.app/static/main/js/Nivo-Slider-jQuery-master/themes/default/default.css	(from https://www.vitthalsales.netlify.app/)
10:15:31	1946/1946	---M--	200	added ('OK')	text/css	etag:%22629aa1d5-79a%22	https://www.vitthalsales.netlify.app/static/main/js/Nivo-Slider-jQuery-master/nivo-slider.css	C:/My%20Web%20Sites/vitthal%20sales/www.vitthalsales.netlify.app/static/main/js/Nivo-Slider-jQuery-master/nivo-slider.css	(from https://www.vitthalsales.netlify.app/)
10:15:32	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2031%20Jul%202024%2004:45:31%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/vitthal%20sales/www.googletagmanager.com/gtm.85445.delayed	(from https://www.vitthalsales.netlify.app/)
10:15:32	565920/565920	---M--	200	added ('OK')	image/jpeg	etag:%22629aa1d5-8a2a0%22	https://www.vitthalsales.netlify.app/static/main/img/favicon.png	C:/My%20Web%20Sites/vitthal%20sales/www.vitthalsales.netlify.app/static/main/img/favicon.png	(from https://www.vitthalsales.netlify.app/)
10:15:33	104686/104686	---M--	200	added ('OK')	image/png	etag:%22629aa1d5-198ee%22	https://www.vitthalsales.netlify.app/static/main/img/logo.png	C:/My%20Web%20Sites/vitthal%20sales/www.vitthalsales.netlify.app/static/main/img/logo.png	(from https://www.vitthalsales.netlify.app/)
10:15:33	2876/2876	---M--	200	added ('OK')	image/png	etag:%22629aa1d5-b3c%22	https://www.vitthalsales.netlify.app/static/main/img/search.png	C:/My%20Web%20Sites/vitthal%20sales/www.vitthalsales.netlify.app/static/main/img/search.png	(from https://www.vitthalsales.netlify.app/)
